GSM2858678	GSM2858682	GSM2858686	GSM2858688	GSM2858690	GSM2858692	GSM2858694	GSM2858699	GSM2858701	GSM2858705	GSM2858707	GSM2858711	GSM2858713	GSM2858716	GSM2858718	GSM2858726	GSM2858727	GSM2858729	GSM2858739	GSM2858742	GSM2858746	GSM2858748	GSM2858749	GSM2858760	GSM2858761	GSM2858766	GSM2858767	GSM2858772	GSM2858780	GSM2858789	GSM2858792
343068	6	6	5	6	7	7	7	5	7	5	7	5	7	5	4	5	5	5	7	5	5	6	6	7	5	7	7	5	4	5	5
343070	6	6	6	6	7	7	7	5	7	5	6	5	7	5	5	5	5	5	8	5	5	5	6	7	5	8	8	4	4	5	4
391004	5	6	5	5	5	5	4	5	5	5	5	5	6	5	6	4	5	5	5	6	5	5	5	5	4	4	4	4	4	5	5
645425	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	4	4	4	5	4	5	5	5	5	4	5	5	4	4	4	5
645382	6	6	5	5	5	5	5	6	6	5	5	5	5	5	5	5	6	5	5	4	4	5	5	5	5	6	5	5	5	5	5
440560	6	6	6	7	7	7	7	5	7	5	6	5	7	5	5	5	5	5	8	5	6	6	5	7	5	7	8	4	4	5	5
10630	6	6	6	6	6	7	6	6	6	7	6	6	6	7	6	6	6	6	6	6	6	6	6	6	7	6	6	7	7	6	6
7799	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	6	6	7	6	6	7	6	7	6	6	6	7	6	7
23254	5	5	5	5	6	6	5	4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	4	5	5	5	4
55092	5	5	5	5	5	5	5	6	5	5	5	5	5	5	5	6	5	5	5	6	5	5	5	5	5	5	5	5	5	5	6
114827	5	5	5	5	6	6	6	6	5	6	5	5	6	6	5	6	6	5	6	5	6	6	6	6	5	5	5	5	6	5	5
79180	8	8	8	8	8	8	8	9	8	9	9	9	9	9	9	10	9	8	8	9	9	9	9	7	9	8	8	8	9	8	9
11330	5	5	5	5	6	6	6	6	5	6	5	6	5	5	5	5	6	6	5	5	5	6	6	5	5	5	6	5	5	5	6
23341	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
107397391	5	6	5	5	5	6	6	5	6	5	5	5	6	5	5	5	5	5	6	5	5	6	5	5	5	5	5	5	5	5	5
84301	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	8	7	7	7	7	7	7	7	7	7	7	8	7	7
23207	6	6	6	6	6	6	6	6	6	7	6	6	6	7	7	8	7	7	6	7	6	6	6	6	8	7	6	7	8	6	7
284723	6	5	5	5	6	5	6	6	5	6	5	5	5	5	6	5	5	5	6	6	5	6	6	5	5	5	5	5	5	5	5
388595	5	6	6	6	6	6	6	6	6	5	6	6	6	6	6	5	6	5	5	5	5	6	6	6	5	5	6	5	5	5	5
54751	6	6	6	6	6	6	6	6	6	7	6	6	6	6	6	7	6	7	6	6	6	6	6	6	7	6	6	6	6	6	6
23013	7	6	7	7	7	7	7	7	7	7	8	7	7	7	8	9	7	8	7	7	7	7	7	7	9	7	7	8	9	8	8
149563	4	5	5	5	5	5	5	6	5	4	4	5	4	5	5	5	5	5	5	5	4	4	4	4	4	5	4	4	4	4	4
26099	7	7	7	7	7	7	7	8	7	8	7	7	8	8	7	9	8	8	8	8	7	7	7	7	8	7	7	7	8	7	8
